Date,Open,High,Low,Close,Adj Close,Volume
2022-10-18,9.318181,9.463636,9.290909,9.463636,8.770591,335830
2022-10-19,9.463636,9.581818,9.436363,9.554545,8.854843,549230
2022-10-20,9.554545,9.754545,9.536363,9.536363,8.837992,366190
2022-10-21,9.636363,10.027272,9.636363,9.936363,9.208700,345950
2022-10-24,9.836363,9.890909,9.572727,9.590909,8.888543,327690
2022-10-25,9.590909,9.654545,9.527272,9.545454,8.846416,210650
2022-10-26,9.545454,9.545454,9.318181,9.390909,8.703189,230230
2022-10-27,9.381818,9.636363,9.336363,9.527272,8.829568,140470
2022-10-28,9.527272,9.600000,9.463636,9.563636,8.863269,97020
2022-10-31,9.481818,9.900000,9.345454,9.836363,9.116021,505010
2022-11-01,9.818181,10.027272,9.754545,9.845454,9.124446,251460
2022-11-03,9.781818,9.936363,9.645454,9.900000,9.174999,235070
2022-11-04,9.872727,10.063636,9.827272,9.863636,9.141298,355080
2022-11-07,9.954545,9.954545,9.663636,9.827272,9.107598,148170
2022-11-08,9.827272,9.836363,9.690909,9.736363,9.023346,170170
2022-11-09,9.727272,9.754545,9.336363,9.436363,8.745316,363330
2022-11-10,9.481818,9.481818,8.981818,9.181818,8.509412,558910
2022-11-11,9.250000,9.360000,8.900000,9.340000,8.656010,724100
2022-11-14,9.250000,9.450000,9.140000,9.140000,8.470657,475200
2022-11-16,9.140000,9.250000,8.960000,9.080000,8.415051,358100
2022-11-17,9.000000,9.050000,8.820000,9.050000,8.387247,253300
2022-11-18,9.050000,9.280000,9.030000,9.050000,8.387247,217900
2022-11-21,9.080000,9.210000,8.960000,9.090000,8.472569,203500
2022-11-22,9.110000,9.210000,8.950000,9.100000,8.481889,221600
2022-11-23,9.100000,9.100000,8.930000,8.970000,8.360720,152300
2022-11-24,9.050000,9.320000,9.030000,9.190000,8.565776,147700
2022-11-25,9.270000,9.270000,9.050000,9.230000,8.603059,252600
2022-11-28,9.230000,9.230000,9.020000,9.090000,8.472569,116700
2022-11-29,9.090000,9.180000,8.930000,9.080000,8.463248,204100
2022-11-30,9.080000,9.380000,8.980000,9.380000,8.742869,264400
2022-12-01,9.260000,9.260000,8.990000,9.050000,8.456500,455500
2022-12-02,9.050000,9.140000,8.960000,9.100000,8.503220,142200
2022-12-05,9.100000,9.140000,8.900000,8.970000,8.381744,183900
2022-12-06,8.970000,8.980000,8.890000,8.940000,8.353711,151100
2022-12-07,8.940000,9.060000,8.940000,9.000000,8.409780,121600
2022-12-08,9.000000,9.050000,8.890000,8.950000,8.363056,484900
2022-12-09,8.880000,8.880000,8.640000,8.680000,8.282427,177600
2022-12-12,8.680000,8.780000,8.580000,8.630000,8.234718,359500
2022-12-13,8.700000,8.760000,8.470000,8.490000,8.101130,418800
2022-12-14,8.490000,8.890000,8.370000,8.790000,8.387389,448100
2022-12-15,8.760000,8.920000,8.570000,8.680000,8.282427,279000
2022-12-16,8.680000,8.740000,8.540000,8.630000,8.234718,177300
2022-12-19,8.650000,8.860000,8.630000,8.810000,8.406474,125900
2022-12-20,8.830000,9.050000,8.820000,8.880000,8.473267,143500
2022-12-21,8.890000,8.970000,8.830000,8.900000,8.492350,177400
2022-12-22,8.900000,8.940000,8.810000,8.890000,8.482809,112200
2022-12-23,8.890000,9.030000,8.840000,8.950000,8.540060,142100
2022-12-26,8.960000,9.050000,8.830000,9.050000,8.635482,70600
2022-12-27,9.050000,9.050000,8.810000,8.840000,8.435099,133100
2022-12-28,8.840000,8.980000,8.760000,8.950000,8.540060,143000
2022-12-29,9.050000,9.070000,8.900000,8.900000,8.492350,89100
2023-01-02,8.900000,8.950000,8.700000,8.830000,8.425558,115600
2023-01-03,8.770000,8.900000,8.630000,8.730000,8.330137,167700
2023-01-04,8.730000,8.810000,8.670000,8.700000,8.301512,122300
2023-01-05,8.770000,8.940000,8.710000,8.890000,8.482809,112300
2023-01-06,8.900000,8.990000,8.890000,8.900000,8.492350,90400
2023-01-09,8.900000,9.020000,8.830000,8.970000,8.559145,146000
2023-01-10,8.990000,9.100000,8.700000,9.070000,8.654564,181400
2023-01-11,9.080000,9.120000,9.020000,9.070000,8.654564,91300
2023-01-12,9.060000,9.110000,8.910000,9.040000,8.625937,118600
2023-01-13,9.030000,9.040000,8.890000,9.020000,8.606854,95300
2023-01-16,9.010000,9.010000,8.810000,8.850000,8.444641,130500
2023-01-17,8.850000,9.020000,8.840000,8.990000,8.578229,97900
2023-01-18,8.990000,9.120000,8.980000,9.060000,8.645022,291700
2023-01-19,9.040000,9.100000,8.920000,9.100000,8.683190,296500
2023-01-20,9.060000,9.080000,8.940000,8.990000,8.578229,92600
2023-01-23,8.970000,9.010000,8.760000,8.920000,8.511435,301900
2023-01-24,8.900000,8.950000,8.800000,8.910000,8.501893,169700
2023-01-25,8.910000,8.950000,8.800000,8.840000,8.435099,135400
2023-01-26,8.970000,8.970000,8.800000,8.840000,8.435099,145900
2023-01-27,8.870000,8.870000,8.730000,8.800000,8.396930,308600
2023-01-30,8.800000,8.830000,8.650000,8.830000,8.425558,223000
2023-01-31,8.850000,8.870000,8.760000,8.780000,8.377848,158400
2023-02-01,8.790000,8.830000,8.580000,8.600000,8.206092,209500
2023-02-02,8.600000,8.780000,8.580000,8.610000,8.215632,665100
2023-02-03,8.610000,8.640000,8.540000,8.590000,8.196550,164800
2023-02-06,8.590000,8.630000,8.490000,8.560000,8.167925,140700
2023-02-07,8.560000,8.560000,8.280000,8.400000,8.015253,191100
2023-02-08,8.400000,8.990000,8.400000,8.970000,8.559145,424900
2023-02-09,8.970000,9.040000,8.760000,8.840000,8.435099,188800
2023-02-10,8.840000,8.840000,8.650000,8.670000,8.272885,157700
2023-02-13,8.670000,8.930000,8.670000,8.860000,8.454182,131100
2023-02-14,8.860000,9.020000,8.820000,8.940000,8.530519,204300
2023-02-15,8.930000,9.000000,8.840000,8.910000,8.501893,111200
2023-02-16,8.940000,9.000000,8.850000,8.960000,8.549602,54200
2023-02-17,8.960000,8.960000,8.830000,8.860000,8.454182,91100
2023-02-22,8.860000,8.860000,8.710000,8.780000,8.377848,46500
2023-02-23,8.780000,8.900000,8.710000,8.840000,8.435099,112000
2023-02-24,8.840000,8.840000,8.550000,8.550000,8.158381,150500
2023-02-27,8.550000,8.610000,8.360000,8.360000,7.977084,145600
2023-02-28,8.370000,8.540000,8.370000,8.430000,8.043880,103000
2023-03-01,8.440000,8.470000,8.300000,8.320000,7.961138,130200
2023-03-02,8.320000,8.440000,8.140000,8.140000,7.788902,122000
2023-03-03,8.160000,8.280000,8.160000,8.250000,7.894157,134700
2023-03-06,8.300000,8.460000,8.250000,8.330000,7.970706,145200
2023-03-07,8.330000,8.360000,8.240000,8.360000,7.999412,249200
2023-03-08,8.300000,8.500000,8.260000,8.450000,8.085532,166000
2023-03-09,8.500000,8.510000,8.370000,8.420000,8.056825,134100
2023-03-10,8.450000,8.450000,8.240000,8.330000,7.970706,175100
2023-03-13,8.330000,8.330000,8.120000,8.180000,7.827176,197800
2023-03-14,8.260000,8.260000,8.140000,8.210000,7.855883,142800
2023-03-15,8.200000,8.240000,8.050000,8.190000,7.836744,216100
2023-03-16,8.300000,8.300000,8.170000,8.290000,7.932432,205600
2023-03-17,8.260000,8.270000,8.120000,8.170000,7.817607,144600
2023-03-20,8.170000,8.230000,8.070000,8.070000,7.721921,128400
2023-03-21,8.090000,8.300000,8.090000,8.120000,7.769765,139700
2023-03-22,8.220000,8.250000,8.120000,8.160000,7.808039,113300
2023-03-23,8.160000,8.220000,8.000000,8.060000,7.712354,163700
2023-03-24,8.000000,8.150000,7.930000,8.130000,7.854665,157300
