Tick,Date,Open,High,Low,Close,Adj Close,Volume
BBAS3,2022-10-05,39.259998,40.349998,38.740002,39.860001,36.536537,22425000
PETR3,2022-10-05,35.500000,36.790001,35.299999,36.549999,26.726000,24446100
BBAS3,2022-10-06,40.200001,40.770000,39.849998,40.570000,37.187336,18177800
PETR3,2022-10-06,36.959999,37.730000,36.599998,37.630001,27.515718,23327000
BBAS3,2022-10-07,40.560001,40.810001,40.110001,40.660000,37.269833,13562000
PETR3,2022-10-07,37.529999,38.410000,37.189999,37.439999,27.376785,18217500
BBAS3,2022-10-10,41.070000,41.360001,39.799999,40.070000,36.729023,11524600
PETR3,2022-10-10,37.599998,37.810001,36.880001,37.099998,27.128168,12316500
BBAS3,2022-10-11,39.790001,40.070000,38.849998,39.110001,35.849072,14612900
PETR3,2022-10-11,36.660000,37.279999,36.299999,36.740002,26.864935,20992200
BBAS3,2022-10-13,38.799999,39.860001,38.070000,39.380001,36.096561,15142400
PETR3,2022-10-13,36.250000,38.520000,36.090000,37.889999,27.705832,24490200
BBAS3,2022-10-14,39.660000,40.180000,38.680000,39.160000,35.894901,12511400
PETR3,2022-10-14,37.849998,37.919998,37.099998,37.150002,27.164732,19191500
BBAS3,2022-10-17,39.299999,39.840000,38.860001,39.490002,36.197388,10038600
PETR3,2022-10-17,37.139999,37.599998,36.459999,36.910000,26.989239,26406000
BBAS3,2022-10-18,39.959999,41.520000,39.759998,39.950001,36.619034,21741600
ITSA3,2022-10-18,9.318181,9.463636,9.290909,9.463636,8.770591,335830
MGLU3,2022-10-18,4.490000,4.530000,4.210000,4.320000,4.320000,185606300
PETR3,2022-10-18,37.250000,37.740002,36.650002,37.740002,27.596151,18698100
VALE3,2022-10-18,72.300003,72.830002,70.739998,71.959999,68.119720,27494000
BBAS3,2022-10-19,41.369999,41.790001,41.000000,41.650002,38.177288,12728500
ITSA3,2022-10-19,9.463636,9.581818,9.436363,9.554545,8.854843,549230
